mofu_sku,stripe_product_id,product_name,category_code,brand_code,existing_supplier_sku,mofu_import_key,in_stock,show_when_out_of_stock,metadata_key_count_before,metadata_key_count_after,write_status
MH-CAT-CIAO-001,prod_V90yLm2ySqOvLR,CIAO とろみ｜鮪魚魷魚濃湯貓罐頭｜單罐,CAT,CIAO,CIC-01,ciao-inaba-cans-2026::cic-01,true,false,28,29,ready_to_write
MH-CAT-CIAO-002,prod_V90yHw6lb8trQi,CIAO とろみ｜鰹魚高湯雞肉鮪魚蟹柳濃湯貓罐頭｜單罐,CAT,CIAO,CIC-02,ciao-inaba-cans-2026::cic-02,true,false,28,29,ready_to_write
MH-CAT-CIAO-003,prod_V90yamZYZI7jNF,CIAO とろみ｜鰹魚高湯雞肉鰹魚扇貝濃湯貓罐頭｜單罐,CAT,CIAO,CIC-03,ciao-inaba-cans-2026::cic-03,true,false,28,29,ready_to_write
MH-CAT-CIAO-004,prod_V90ygMTkWiOVNg,CIAO とろみ｜烤鰹魚雞肉柴魚片濃湯貓罐頭｜單罐,CAT,CIAO,CIC-04,ciao-inaba-cans-2026::cic-04,true,false,28,29,ready_to_write
MH-CAT-CIAO-005,prod_V90yLEVAaxxHJj,CIAO とろみ｜鰹魚高湯雞肉鮪魚魷魚濃湯貓罐頭｜單罐,CAT,CIAO,CIC-05,ciao-inaba-cans-2026::cic-05,true,false,28,29,ready_to_write
MH-CAT-CIAO-006,prod_V90yH5bCkLyGYU,CIAO とろみ｜下泌尿道配慮雞肉鮪魚扇貝濃湯貓罐頭｜單罐,CAT,CIAO,CIC-06,ciao-inaba-cans-2026::cic-06,true,false,28,29,ready_to_write
MH-CAT-CIAO-007,prod_V90yJbWqkU76Xa,CIAO とろみ｜奶油濃湯雞肉鮪魚蟹柳貓罐頭｜單罐,CAT,CIAO,CIC-07,ciao-inaba-cans-2026::cic-07,true,false,28,29,ready_to_write
MH-CAT-CIAO-008,prod_V90yGkxpp9OU57,CIAO とろみ｜奶油濃湯雞肉鰹魚柴魚片貓罐頭｜單罐,CAT,CIAO,CIC-08,ciao-inaba-cans-2026::cic-08,true,false,28,29,ready_to_write
MH-CAT-CIAO-009,prod_V90yhouIdri4Ou,CIAO とろみ｜11歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,CAT,CIAO,CIC-09,ciao-inaba-cans-2026::cic-09,true,false,30,31,ready_to_write
MH-CAT-CIAO-010,prod_V90yHSNJqbGEZF,CIAO とろみ｜14歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,CAT,CIAO,CIC-10,ciao-inaba-cans-2026::cic-10,false,true,30,31,ready_to_write
