mofu_sku,product_id,product_name,source_price_id,replacement_price_id,old_hkd,new_hkd,cost_cny,was_default_price,verification_status,failed_checks
MH-DOG-COMBO-015,prod_V8kNDHKt8kCFkT,COMBO 馬蘇里拉芝士角切狗狗乾糧 720g｜COMBO Mozzarella Cheese Cubes Dry Dog Food 720g,price_1U8SsoRyM6dRKLtZv82WvY8y,price_1U90TXRyM6dRKLtZARGBBySv,249.90,234.90,114.0000,True,verified,
MH-DOG-COMBO-013,prod_V8kNDRrV7QQWc8,COMBO 捲心菜牛肉狗狗乾糧 720g｜COMBO Cabbage & Beef Dry Dog Food 720g,price_1U8SspRyM6dRKLtZdI80zla7,price_1U90TYRyM6dRKLtZdZNpfM38,249.90,234.90,114.0000,True,verified,
MH-DOG-COMBO-014,prod_V8kNSV91CKgxb8,"COMBO 牛肉小魚乾芝士蔬菜狗狗乾糧 720g｜COMBO Beef, Dried Small Fish, Cheese & Vegetable Blend Dry Dog Food 720g",price_1U8SsmRyM6dRKLtZ3iaLqEV5,price_1U90TZRyM6dRKLtZtQ7cumCz,249.90,234.90,114.0000,True,verified,
MH-DOG-COMBO-016,prod_V8kNXGrzdUVGWS,COMBO 低脂小魚乾雞肉狗狗乾糧 720g｜COMBO Low-Fat Dried Small Fish & Chicken Dry Dog Food 720g,price_1U8SsqRyM6dRKLtZP2yQef0B,price_1U90TaRyM6dRKLtZWuVaHBFp,249.90,234.90,114.0000,True,verified,
MH-DOG-COMBO-017,prod_V8kNg5nRdCoND1,COMBO 低脂 7歲以上狗狗乾糧 720g｜COMBO Low-Fat Senior Dry Dog Food 720g,price_1U8SsrRyM6dRKLtZoKEOSOWV,price_1U90TbRyM6dRKLtZygTCmy0F,249.90,234.90,114.0000,True,verified,
MH-DOG-COMBO-012,prod_V8lA3QuLuCwOig,COMBO Pure 魚肉米狗狗乾糧 540g｜COMBO Pure Fish & Rice Dry Dog Food 540g,price_1U8TeHRyM6dRKLtZVgeSBzyq,price_1U90TcRyM6dRKLtZqUcntXTV,189.90,178.90,87.0000,True,verified,
MH-DOG-COMBO-008,prod_V8lA3mO6fUVnGr,COMBO Pure 嚴選芝士日本產雞肉狗狗乾糧 600g｜COMBO Pure Selected Cheese & Japanese Chicken Dry Dog Food 600g,price_1U8TeCRyM6dRKLtZj8yHgAgF,price_1U90TdRyM6dRKLtZwHed2NNy,189.90,178.90,87.0000,True,verified,
MH-DOG-COMBO-003,prod_V8lA3nhXSFdHkU,COMBO Pure 羅勒香雞肉切塊狗狗小食 50g｜COMBO Pure Basil-Scented Chicken Cubes Dog Treat 50g,price_1U8Te4RyM6dRKLtZsMkoDZgO,price_1U90TeRyM6dRKLtZlBbwP7Sb,69.90,65.90,31.7000,True,verified,
MH-DOG-COMBO-004,prod_V8lA4N42hxS8dk,COMBO Pure 雞肉軟骨切塊狗狗小食 50g｜COMBO Pure Chicken & Cartilage Cubes Dog Treat 50g,price_1U8Te5RyM6dRKLtZ9oA7GOJI,price_1U90TfRyM6dRKLtZYA48AO1y,69.90,65.90,31.7000,True,verified,
MH-DOG-COMBO-005,prod_V8lA7fjOQvodwx,COMBO Pure 雞胸肉三種蔬菜切塊狗狗小食 50g｜COMBO Pure Chicken Breast & Three Vegetable Cubes Dog Treat 50g,price_1U8Te6RyM6dRKLtZtPnsIajn,price_1U90TgRyM6dRKLtZOSQ0bR5c,69.90,65.90,31.7000,True,verified,
MH-DOG-COMBO-006,prod_V8lA8TrpHKZ0AE,COMBO Pure 日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Japanese Chicken & Vegetable Dry Dog Food 600g,price_1U8TeARyM6dRKLtZQu5zOWNW,price_1U90ThRyM6dRKLtZse2oFhSo,189.90,178.90,87.0000,True,verified,
MH-DOG-COMBO-007,prod_V8lAFkM1R1Q06Q,COMBO Pure 蔬菜嚴選芝士狗狗乾糧 600g｜COMBO Pure Vegetable & Selected Cheese Dry Dog Food 600g,price_1U8TeBRyM6dRKLtZzFpXrLkJ,price_1U90TiRyM6dRKLtZXvCDc0kQ,189.90,178.90,87.0000,True,verified,
MH-DOG-COMBO-010,prod_V8lAGBIlndcl9U,COMBO Pure 低脂日本產雞肉蔬菜狗狗乾糧 600g｜COMBO Pure Low-Fat Japanese Chicken & Vegetable Dry Dog Food 600g,price_1U8TeERyM6dRKLtZkFfIYDtC,price_1U90TjRyM6dRKLtZ6SUOdjvj,189.90,178.90,87.0000,True,verified,
MH-DOG-PTL-004,prod_V8lAMmluHgtE1f,PETLINE 盛宴時光 雞肉泥牛奶果凍芝士包 25g×4｜PETLINE Gochisou Time Chicken Paste Milk Jelly with Cheese Pouches 25g×4,price_1U8Te1RyM6dRKLtZhKa7smDU,price_1U90TkRyM6dRKLtZDOKY162e,49.90,40.90,19.7000,True,verified,
MH-CAT-COMBO-001,prod_V8lAOpvuncOCZM,COMBO 貓咪奢華美食四重滋味熟成鰹魚乾糧 600g｜COMBO Luxury Gourmet Four Flavours with Aged Bonito Dry Cat Food 600g,price_1U8Te7RyM6dRKLtZw2QIvSDA,price_1U90TlRyM6dRKLtZ6GLk9xjl,189.90,183.90,89.6000,True,verified,
MH-DOG-PTL-001,prod_V8lAPSEzKs8rpv,"PETLINE 盛宴時光 雞胸肉蔬菜牛肉風味果凍包 25g×4｜PETLINE Gochisou Time Chicken Breast, Vegetable & Beef-Style Jelly Pouches 25g×4",price_1U8TdxRyM6dRKLtZS4vQb2w7,price_1U90TmRyM6dRKLtZwKHnI6J8,49.90,40.90,19.7000,True,verified,
MH-CAT-COMBO-003,prod_V8lAWevxk3Za0C,COMBO 體重關注貓用鮪魚鰹魚節乾糧 600g｜COMBO Weight-Concern Cat Tuna Dry Food with Bonito Flakes 600g,price_1U8Te9RyM6dRKLtZbFSz0rsZ,price_1U90TnRyM6dRKLtZ6217JLWk,189.90,183.90,89.6000,True,verified,
MH-DOG-PTL-003,prod_V8lAXdhHafIDnG,PETLINE 盛宴時光 雞胸肉牛奶燉芝士包 25g×4｜PETLINE Gochisou Time Chicken Breast Milk-Stew with Cheese Pouches 25g×4,price_1U8TdzRyM6dRKLtZcZlk1ao4,price_1U90ToRyM6dRKLtZX8MagmYU,49.90,40.90,19.7000,True,verified,
MH-DOG-COMBO-011,prod_V8lAaOLN6jDE2s,COMBO Pure 凍乾配料日本產雞肉蔬菜狗狗乾糧 540g｜COMBO Pure Freeze-Dried Topping Japanese Chicken & Vegetable Dry Dog Food 540g,price_1U8TeFRyM6dRKLtZuol9PSsc,price_1U90TpRyM6dRKLtZPEBmnzI5,189.90,178.90,87.0000,True,verified,
MH-DOG-COMBO-001,prod_V8lActmdKRF9Nz,COMBO Pure 香嫩雞胸肉切塊狗狗小食 50g｜COMBO Pure Tender Chicken Breast Cubes Dog Treat 50g,price_1U8Te2RyM6dRKLtZjnp6TQr0,price_1U90TqRyM6dRKLtZ7F9UXZ0h,69.90,65.90,31.7000,True,verified,
