product_id,price_id,mofu_sku,product_name,brand,product_active,price_active,currency,price_type,is_default_price,active_hkd_price_count_for_product,current_hkd,current_cents,cost_cny,cost_source,unrounded_proposed_hkd,proposed_hkd,proposed_cents,price_change_hkd,price_change_percent,pricing_status,write_action
prod_V8Vz4r6kx51OK2,price_1U8VhrRyM6dRKLtZCmbpVwO6,MH-CAT-MCK-018,雞里脊 150g (現貨 / 2027.11.30),Mamacook,True,True,HKD,one_time,True,1,262.90,26290,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8VzG9Cs8B2Rjb,price_1U8VhhRyM6dRKLtZreAjaaqG,MH-CAT-MCK-011,雞胸肉 150g (現貨 / 賞味 27.10),Mamacook,True,True,HKD,one_time,True,1,262.90,26290,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8VzICRXhFqVtH,price_1U8VhsRyM6dRKLtZxrrjuIFL,MH-CAT-MCK-019,雞里脊 30g (預定),Mamacook,True,True,HKD,one_time,True,1,77.90,7790,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8VzTooOH64y65,price_1U8VhiRyM6dRKLtZcE0BERx5,MH-CAT-MCK-012,雞胸肉 30g (現貨 / 賞味 28.01),Mamacook,True,True,HKD,one_time,True,1,77.90,7790,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8VzYLI6mgAR3P,price_1U8VhmRyM6dRKLtZQLMUjgZb,MH-CAT-MCK-015,雞胸肉雞肝凍干 18g (預定),Mamacook,True,True,HKD,one_time,True,1,62.90,6290,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8W06fowHsMOSF,price_1U8Ey3RyM6dRKLtZ4nscQPyL,MH-CAT-MCK-016,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),Mamacook,True,True,HKD,one_time,True,1,250.90,25090,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8W072ieTWyOZ7,price_1U8VhoRyM6dRKLtZEPUbvHtX,MH-CAT-MCK-017,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),Mamacook,True,True,HKD,one_time,True,1,62.90,6290,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8W073h3MHqGhr,price_1U8VhXRyM6dRKLtZpnl8JDZN,MH-CAT-MCK-010,銀魚 10g (預定),Mamacook,True,True,HKD,one_time,True,1,78.90,7890,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8W07sgetW5UqK,price_1U8VhkRyM6dRKLtZzV6cvj1O,MH-CAT-MCK-013,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),Mamacook,True,True,HKD,one_time,True,1,75.90,7590,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
prod_V8W0BWVdW0bKlr,price_1U8VgzRyM6dRKLtZMgGqC4Ob,MH-CAT-MCK-003,扇貝 11g (現貨 / 27.01.15),Mamacook,True,True,HKD,one_time,True,1,78.90,7890,,,,,,,,awaiting_cny_cost,preview_only_no_stripe_write
