product_id,price_id,mofu_sku,supplier_sku,product_name,brand,category,variant_mode,variant_key,variant_label_zh,is_default_price,is_storefront_sellable_price,storefront_selection_issue,current_hkd,current_cents,cost_cny,cost_source,local_cost_source_file,cost_hkd_at_fixed_fx,unrounded_proposed_hkd,proposed_hkd,proposed_cents,price_change_hkd,price_change_percent,estimated_domestic_stripe_fee_hkd,estimated_net_margin_after_domestic_stripe_fee,replacement_price_metadata_key_count_before,replacement_price_metadata_key_count_after,product_policy_metadata_key_count_before,product_policy_metadata_key_count_after,proposed_product_policy_metadata_additions,proposed_product_policy_metadata_replacements,product_policy_metadata_capacity_blocked,pricing_status,approval_manifest_scope
prod_V90yLm2ySqOvLR,price_1U8iwURyM6dRKLtZvEEuMvIT,MH-CAT-CIAO-001,CIC-01,CIAO とろみ｜鮪魚魷魚濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,25.90,2590,11.8000,stripe_price_metadata.cost_cny,,13.7517,24.2030,24.90,2490,-1.00,-3.8610,3.1966,0.3193,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yHw6lb8trQi,price_1U8iwVRyM6dRKLtZBxhHTGze,MH-CAT-CIAO-002,CIC-02,CIAO とろみ｜鰹魚高湯雞肉鮪魚蟹柳濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,29.90,2990,13.8000,stripe_price_metadata.cost_cny,,16.0825,28.3052,28.90,2890,-1.00,-3.3445,3.3326,0.3282,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yamZYZI7jNF,price_1U8iwXRyM6dRKLtZywWN34fZ,MH-CAT-CIAO-003,CIC-03,CIAO とろみ｜鰹魚高湯雞肉鰹魚扇貝濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,22.90,2290,10.8000,stripe_price_metadata.cost_cny,,12.5863,22.1519,22.90,2290,0.00,0.0000,3.1286,0.3138,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,formula_matches_current_price_no_replacement,False
prod_V90ygMTkWiOVNg,price_1U8iwYRyM6dRKLtZYbdZDFYL,MH-CAT-CIAO-004,CIC-04,CIAO とろみ｜烤鰹魚雞肉柴魚片濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,25.90,2590,11.8000,stripe_price_metadata.cost_cny,,13.7517,24.2030,24.90,2490,-1.00,-3.8610,3.1966,0.3193,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yLEVAaxxHJj,price_1U8iwZRyM6dRKLtZc4a9huRq,MH-CAT-CIAO-005,CIC-05,CIAO とろみ｜鰹魚高湯雞肉鮪魚魷魚濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,22.90,2290,10.8000,stripe_price_metadata.cost_cny,,12.5863,22.1519,22.90,2290,0.00,0.0000,3.1286,0.3138,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,formula_matches_current_price_no_replacement,False
prod_V90yH5bCkLyGYU,price_1U8iwaRyM6dRKLtZbm2N3cUU,MH-CAT-CIAO-006,CIC-06,CIAO とろみ｜下泌尿道配慮雞肉鮪魚扇貝濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,25.90,2590,11.8000,stripe_price_metadata.cost_cny,,13.7517,24.2030,24.90,2490,-1.00,-3.8610,3.1966,0.3193,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yJbWqkU76Xa,price_1U8iwbRyM6dRKLtZl7K9ejmQ,MH-CAT-CIAO-007,CIC-07,CIAO とろみ｜奶油濃湯雞肉鮪魚蟹柳貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,25.90,2590,11.8000,stripe_price_metadata.cost_cny,,13.7517,24.2030,24.90,2490,-1.00,-3.8610,3.1966,0.3193,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yGkxpp9OU57,price_1U8iwdRyM6dRKLtZ7nW4lVOy,MH-CAT-CIAO-008,CIC-08,CIAO とろみ｜奶油濃湯雞肉鰹魚柴魚片貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,29.90,2990,13.8000,stripe_price_metadata.cost_cny,,16.0825,28.3052,28.90,2890,-1.00,-3.3445,3.3326,0.3282,11,11,29,32,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yhouIdri4Ou,price_1U8iweRyM6dRKLtZOPT6WHop,MH-CAT-CIAO-009,CIC-09,CIAO とろみ｜11歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,25.90,2590,11.8000,stripe_price_metadata.cost_cny,,13.7517,24.2030,24.90,2490,-1.00,-3.8610,3.1966,0.3193,11,11,31,34,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
prod_V90yHSNJqbGEZF,price_1U8iwfRyM6dRKLtZujEk5TUK,MH-CAT-CIAO-010,CIC-10,CIAO とろみ｜14歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,CIAO とろみ,cats,single,single,單罐,True,True,,29.90,2990,13.8000,stripe_price_metadata.cost_cny,,16.0825,28.3052,28.90,2890,-1.00,-3.3445,3.3326,0.3282,11,11,31,34,"{'pricing_policy_version': 'mofu-cny-hkd-multiplier-v1', 'pricing_retail_multiplier': '1.76', 'retail_pricing_rule': 'retail_hkd = ceil_to_.90(cost_cny × 1.1654 × 1.76)'}",{},False,would_replace_after_explicit_approval,True
