序號,店內 SKU,產品名稱,品牌,分類,供應商 SKU,Stripe Product ID,活躍 HKD Price 數,現行 HKD 售價／Price ID／規格,原始匯入來源,原始匯入鍵,現有 Product metadata 欄位數,需先作欄位容量審核,待輸入 CNY 成本（如各變體相同）,成本來源／供應商連結或單據,成本日期,確認目標毛利率（例如 0.45）,入境／運費 HKD（如適用）,備註
1,MH-CAT-CIAO-029,CIAO 炙烤盛宴｜香烤鰹魚干瑤柱 (高齡貓用)｜50g,CIAO 炙烤盛宴,cats,CIAOVL-01,prod_V8fduDqyGKiazf,1,HK$16.90 · price_1U8VfZRyM6dRKLtZOVHdViM0 · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-01,30,否,,,,,,
2,MH-CAT-CIAO-030,CIAO 炙烤盛宴｜香烤扇貝柱 (高齡貓用)｜50g,CIAO 炙烤盛宴,cats,CIAOVL-02,prod_V8fd05UFEZNURC,1,HK$16.90 · price_1U8VfXRyM6dRKLtZFvN0Equa · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-02,30,否,,,,,,
3,MH-CAT-CIAO-031,CIAO 炙烤盛宴｜扇貝柱正宗高湯｜50g,CIAO 炙烤盛宴,cats,CIAOVL-03,prod_V8fdpmkax4VOq1,1,HK$16.90 · price_1U8VfNRyM6dRKLtZ71a6mIuN · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-03,27,否,,,,,,
4,MH-CAT-CIAO-032,CIAO 炙烤盛宴｜烤鰹魚含小銀魚+扇貝柱｜50g,CIAO 炙烤盛宴,cats,CIAOVL-04,prod_V8fdnUyX0IymBN,1,HK$16.90 · price_1U8VfSRyM6dRKLtZeHgrgP2N · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-04,27,否,,,,,,
5,MH-CAT-CIAO-033,CIAO 炙烤盛宴｜炙烤雞胸肉含蟹肉棒+扇貝柱｜50g,CIAO 炙烤盛宴,cats,CIAOVL-05,prod_V8fep70tdjHDoG,1,HK$16.90 · price_1U8VfQRyM6dRKLtZr1rEXVaM · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-05,27,否,,,,,,
6,MH-CAT-CIAO-034,CIAO 超強乳酸菌｜金槍魚雞肉鰹魚｜40g,CIAO 超強乳酸菌,cats,CIAOVL-06,prod_V8feoZ4v72AX1T,1,HK$12.90 · price_1U8VfcRyM6dRKLtZmgPvy27P · 40g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-06,27,否,,,,,,
7,MH-CAT-CIAO-035,CIAO 炙烤盛宴｜化毛呵護鰹魚片扇貝柱｜50g,CIAO 炙烤盛宴,cats,CIAOVL-07,prod_V8fe010ZPXAJ1J,1,HK$16.90 · price_1U8VfJRyM6dRKLtZYUNbtDOa · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-07,28,否,,,,,,
8,MH-CAT-CIAO-036,CIAO 炙烤盛宴｜雞胸肉扇貝柱｜50g,CIAO 炙烤盛宴,cats,CIAOVL-08,prod_V8fe4RA15lCQZO,1,HK$16.90 · price_1U8VfVRyM6dRKLtZhrXqqdFe · 50g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-08,27,否,,,,,,
9,MH-CAT-CIAO-037,CIAO 超強乳酸菌｜鮪魚雞肉柴魚片高湯｜40g,CIAO 超強乳酸菌,cats,CIAOVL-09,prod_V8feXQdvRNrV4B,1,HK$12.90 · price_1U8VffRyM6dRKLtZQ1rrh41H · 40g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-09,27,否,,,,,,
10,MH-CAT-CIAO-038,CIAO 超強乳酸菌｜雞肉鰹魚干高湯｜40g,CIAO 超強乳酸菌,cats,CIAOVL-10,prod_V8feeIGBK4DYB1,1,HK$12.90 · price_1U8VfdRyM6dRKLtZBZUCAmmJ · 40g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-10,27,否,,,,,,
11,MH-CAT-CIAO-039,CIAO 炙烤盛宴｜鰹魚干扇貝味 (香烤風味)｜30g,CIAO 炙烤盛宴,cats,CIAOVL-11,prod_V8fefdYTxUdNva,1,HK$14.90 · price_1U8VfaRyM6dRKLtZnd4iwlcL · 30g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-11,27,否,,,,,,
12,MH-CAT-CIAO-040,CIAO 炙烤盛宴｜北海道風味扇貝 (香烤風味)｜30g,CIAO 炙烤盛宴,cats,CIAOVL-12,prod_V8feNaBEY6Pn28,1,HK$14.90 · price_1U8VfLRyM6dRKLtZ5nEpH6ij · 30g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-12,27,否,,,,,,
13,MH-CAT-CIAO-041,CIAO 炙烤盛宴｜銀魚扇貝味 (香烤風味)｜30g,CIAO 炙烤盛宴,cats,CIAOVL-13,prod_V8fenfKdEjRnr7,1,HK$14.90 · price_1U8VfURyM6dRKLtZsfDqR6c3 · 30g,products_20_list.csv,ciao-vetslabo-2026::ciaovl-13,27,否,,,,,,
