product_id,price_id,is_default_price,variant_mode,variant_label_zh,mofu_sku,product_name,brand,category,current_hkd,cost_cny,target_product_margin,stored_cny_to_hkd,latest_cny_to_hkd,fx_change_percent,rounding_rule,pricing_ship_to_hk_hkd,retail_pricing_rule,unrounded_proposed_hkd,proposed_hkd,price_change_hkd,price_change_percent,current_margin_at_latest_fx,proposed_margin_at_latest_fx,would_change_without_guard,passes_potential_fx_trigger_0_5_percent,within_potential_price_change_cap_5_percent,potential_review_guard_status
prod_V90yLm2ySqOvLR,price_1U8iwURyM6dRKLtZvEEuMvIT,true,single,單罐,MH-CAT-CIAO-001,CIAO とろみ｜鮪魚魷魚濃湯貓罐頭｜單罐,CIAO とろみ,cats,25.90,11.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",25.0546,25.90,0.00,0.0000,0.4680,0.4680,False,False,True,no_price_change
prod_V90yHw6lb8trQi,price_1U8iwVRyM6dRKLtZBxhHTGze,true,single,單罐,MH-CAT-CIAO-002,CIAO とろみ｜鰹魚高湯雞肉鮪魚蟹柳濃湯貓罐頭｜單罐,CIAO とろみ,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90yamZYZI7jNF,price_1U8iwXRyM6dRKLtZywWN34fZ,true,single,單罐,MH-CAT-CIAO-003,CIAO とろみ｜鰹魚高湯雞肉鰹魚扇貝濃湯貓罐頭｜單罐,CIAO とろみ,cats,22.90,10.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",22.9313,23.90,1.00,4.3668,0.4492,0.4723,True,False,True,hold_fx_change_below_0.5_percent
prod_V90ygMTkWiOVNg,price_1U8iwYRyM6dRKLtZYbdZDFYL,true,single,單罐,MH-CAT-CIAO-004,CIAO とろみ｜烤鰹魚雞肉柴魚片濃湯貓罐頭｜單罐,CIAO とろみ,cats,25.90,11.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",25.0546,25.90,0.00,0.0000,0.4680,0.4680,False,False,True,no_price_change
prod_V90yLEVAaxxHJj,price_1U8iwZRyM6dRKLtZc4a9huRq,true,single,單罐,MH-CAT-CIAO-005,CIAO とろみ｜鰹魚高湯雞肉鮪魚魷魚濃湯貓罐頭｜單罐,CIAO とろみ,cats,22.90,10.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",22.9313,23.90,1.00,4.3668,0.4492,0.4723,True,False,True,hold_fx_change_below_0.5_percent
prod_V90yH5bCkLyGYU,price_1U8iwaRyM6dRKLtZbm2N3cUU,true,single,單罐,MH-CAT-CIAO-006,CIAO とろみ｜下泌尿道配慮雞肉鮪魚扇貝濃湯貓罐頭｜單罐,CIAO とろみ,cats,25.90,11.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",25.0546,25.90,0.00,0.0000,0.4680,0.4680,False,False,True,no_price_change
prod_V90yJbWqkU76Xa,price_1U8iwbRyM6dRKLtZl7K9ejmQ,true,single,單罐,MH-CAT-CIAO-007,CIAO とろみ｜奶油濃湯雞肉鮪魚蟹柳貓罐頭｜單罐,CIAO とろみ,cats,25.90,11.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",25.0546,25.90,0.00,0.0000,0.4680,0.4680,False,False,True,no_price_change
prod_V90yGkxpp9OU57,price_1U8iwdRyM6dRKLtZ7nW4lVOy,true,single,單罐,MH-CAT-CIAO-008,CIAO とろみ｜奶油濃湯雞肉鰹魚柴魚片貓罐頭｜單罐,CIAO とろみ,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
prod_V90yhouIdri4Ou,price_1U8iweRyM6dRKLtZOPT6WHop,true,single,單罐,MH-CAT-CIAO-009,CIAO とろみ｜11歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,CIAO とろみ,cats,25.90,11.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",25.0546,25.90,0.00,0.0000,0.4680,0.4680,False,False,True,no_price_change
prod_V90yHSNJqbGEZF,price_1U8iwfRyM6dRKLtZujEk5TUK,true,single,單罐,MH-CAT-CIAO-010,CIAO とろみ｜14歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,CIAO とろみ,cats,29.90,13.8000,0.4500,1.1654,1.1678,0.2059,upward .90,0.00,"CNY×1.1654/(1-45%), upward .90",29.3012,29.90,0.00,0.0000,0.4610,0.4610,False,False,True,no_price_change
