sync_status,blocking_reasons,source_file,supplier_sku,mofu_sku,product_name,product_id,cost_cny,target_margin,fx_cny_to_hkd,ship_to_hk_hkd,rounding,product_metadata_before,product_metadata_after_preview,proposed_product_metadata_additions,product_metadata_conflicts,price_id,price_current_hkd,price_variant_label_zh,price_metadata_before,price_metadata_after_preview,proposed_price_metadata_additions,price_metadata_conflicts
blocked,product_metadata_capacity_exceeded,batch24_product_mapping.json,B24-01,MH-DOG-PTL-001,"PETLINE 盛宴時光 雞胸肉蔬菜牛肉風味果凍包 25g×4｜PETLINE Gochisou Time Chicken Breast, Vegetable & Beef-Style Jelly Pouches 25g×4",prod_V8lAPSEzKs8rpv,19.7,0.45,1.1654,0.00,upward .90,50,54,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TdxRyM6dRKLtZS4vQb2w7,49.90,25g×4,7,8,"{""cost_cny"":""19.7""}",{}
blocked,product_metadata_capacity_exceeded,batch24_product_mapping.json,B24-02,MH-DOG-PTL-002,PETLINE 盛宴時光 雞胸肉芝士果凍包 25g×4｜PETLINE Gochisou Time Chicken Breast & Cheese Jelly Pouches 25g×4,prod_V8lAt5mJJ5YOb7,19.7,0.45,1.1654,0.00,upward .90,50,54,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TdyRyM6dRKLtZYeTThu5A,49.90,25g×4,7,8,"{""cost_cny"":""19.7""}",{}
blocked,product_metadata_capacity_exceeded,batch24_product_mapping.json,B24-03,MH-DOG-PTL-003,PETLINE 盛宴時光 雞胸肉牛奶燉芝士包 25g×4｜PETLINE Gochisou Time Chicken Breast Milk-Stew with Cheese Pouches 25g×4,prod_V8lAXdhHafIDnG,19.7,0.45,1.1654,0.00,upward .90,50,54,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8TdzRyM6dRKLtZcZlk1ao4,49.90,25g×4,7,8,"{""cost_cny"":""19.7""}",{}
blocked,product_metadata_capacity_exceeded,batch24_product_mapping.json,B24-04,MH-DOG-PTL-004,PETLINE 盛宴時光 雞肉泥牛奶果凍芝士包 25g×4｜PETLINE Gochisou Time Chicken Paste Milk Jelly with Cheese Pouches 25g×4,prod_V8lAMmluHgtE1f,19.7,0.45,1.1654,0.00,upward .90,50,54,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te1RyM6dRKLtZhKa7smDU,49.90,25g×4,7,8,"{""cost_cny"":""19.7""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-05,MH-DOG-COMBO-001,COMBO Pure 香嫩雞胸肉切塊狗狗小食 50g｜COMBO Pure Tender Chicken Breast Cubes Dog Treat 50g,prod_V8lActmdKRF9Nz,31.7,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te2RyM6dRKLtZjnp6TQr0,69.90,50g,7,8,"{""cost_cny"":""31.7""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-06,MH-DOG-COMBO-002,COMBO Pure 香嫩雞胸肉絲狗狗小食 50g｜COMBO Pure Tender Chicken Breast Strips Dog Treat 50g,prod_V8lAyjALw49Mz2,31.7,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te3RyM6dRKLtZQYZvdm4f,69.90,50g,7,8,"{""cost_cny"":""31.7""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-07,MH-DOG-COMBO-003,COMBO Pure 羅勒香雞肉切塊狗狗小食 50g｜COMBO Pure Basil-Scented Chicken Cubes Dog Treat 50g,prod_V8lA3nhXSFdHkU,31.7,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te4RyM6dRKLtZsMkoDZgO,69.90,50g,7,8,"{""cost_cny"":""31.7""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-08,MH-DOG-COMBO-004,COMBO Pure 雞肉軟骨切塊狗狗小食 50g｜COMBO Pure Chicken & Cartilage Cubes Dog Treat 50g,prod_V8lA4N42hxS8dk,31.7,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te5RyM6dRKLtZ9oA7GOJI,69.90,50g,7,8,"{""cost_cny"":""31.7""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-09,MH-DOG-COMBO-005,COMBO Pure 雞胸肉三種蔬菜切塊狗狗小食 50g｜COMBO Pure Chicken Breast & Three Vegetable Cubes Dog Treat 50g,prod_V8lA7fjOQvodwx,31.7,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te6RyM6dRKLtZtPnsIajn,69.90,50g,7,8,"{""cost_cny"":""31.7""}",{}
ready_for_future_apply,,batch24_product_mapping.json,B24-10,MH-CAT-COMBO-001,COMBO 貓咪奢華美食四重滋味熟成鰹魚乾糧 600g｜COMBO Luxury Gourmet Four Flavours with Aged Bonito Dry Cat Food 600g,prod_V8lAOpvuncOCZM,89.6,0.45,1.1654,0.00,upward .90,29,33,"{""pricing_target_product_gross_margin"":""0.45"",""pricing_cny_to_hkd"":""1.1654"",""pricing_ship_to_hk_hkd"":""0.00"",""pricing_rounding"":""upward .90""}",{},price_1U8Te7RyM6dRKLtZw2QIvSDA,189.90,600g（120g×5）,7,8,"{""cost_cny"":""89.6""}",{}
