product_id,mofu_sku,product_name,source_price_id,replacement_price_id,old_hkd,new_hkd,pricing_input_kind,source_inactive,replacement_active,default_price_correct,price_amount_correct,verified
prod_V8fduDqyGKiazf,MH-CAT-CIAO-029,CIAO 炙烤盛宴｜香烤鰹魚干瑤柱 (高齡貓用)｜50g,price_1U8VfZRyM6dRKLtZOVHdViM0,price_1U91tuRyM6dRKLtZ6qsNXQeF,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fd05UFEZNURC,MH-CAT-CIAO-030,CIAO 炙烤盛宴｜香烤扇貝柱 (高齡貓用)｜50g,price_1U8VfXRyM6dRKLtZFvN0Equa,price_1U91ttRyM6dRKLtZ2CiYNhfc,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fdpmkax4VOq1,MH-CAT-CIAO-031,CIAO 炙烤盛宴｜扇貝柱正宗高湯｜50g,price_1U8VfNRyM6dRKLtZ71a6mIuN,price_1U91tsRyM6dRKLtZPV2iCmXm,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fdnUyX0IymBN,MH-CAT-CIAO-032,CIAO 炙烤盛宴｜烤鰹魚含小銀魚+扇貝柱｜50g,price_1U8VfSRyM6dRKLtZeHgrgP2N,price_1U91trRyM6dRKLtZCybZZS9W,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fep70tdjHDoG,MH-CAT-CIAO-033,CIAO 炙烤盛宴｜炙烤雞胸肉含蟹肉棒+扇貝柱｜50g,price_1U8VfQRyM6dRKLtZr1rEXVaM,price_1U91tqRyM6dRKLtZ4wWerJ1F,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feoZ4v72AX1T,MH-CAT-CIAO-034,CIAO 超強乳酸菌｜金槍魚雞肉鰹魚｜40g,price_1U8VfcRyM6dRKLtZmgPvy27P,price_1U91tpRyM6dRKLtZBJ2iY0Uu,12.90,13.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fe010ZPXAJ1J,MH-CAT-CIAO-035,CIAO 炙烤盛宴｜化毛呵護鰹魚片扇貝柱｜50g,price_1U8VfJRyM6dRKLtZYUNbtDOa,price_1U91toRyM6dRKLtZbDeDPV3q,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fe4RA15lCQZO,MH-CAT-CIAO-036,CIAO 炙烤盛宴｜雞胸肉扇貝柱｜50g,price_1U8VfVRyM6dRKLtZhrXqqdFe,price_1U91tnRyM6dRKLtZ5BUVkENk,16.90,17.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feXQdvRNrV4B,MH-CAT-CIAO-037,CIAO 超強乳酸菌｜鮪魚雞肉柴魚片高湯｜40g,price_1U8VffRyM6dRKLtZQ1rrh41H,price_1U91tmRyM6dRKLtZ8qZFAnED,12.90,13.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feeIGBK4DYB1,MH-CAT-CIAO-038,CIAO 超強乳酸菌｜雞肉鰹魚干高湯｜40g,price_1U8VfdRyM6dRKLtZBZUCAmmJ,price_1U91tlRyM6dRKLtZFnV8aH3t,12.90,13.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fefdYTxUdNva,MH-CAT-CIAO-039,CIAO 炙烤盛宴｜鰹魚干扇貝味 (香烤風味)｜30g,price_1U8VfaRyM6dRKLtZnd4iwlcL,price_1U91tkRyM6dRKLtZLB4KN51f,14.90,15.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feNaBEY6Pn28,MH-CAT-CIAO-040,CIAO 炙烤盛宴｜北海道風味扇貝 (香烤風味)｜30g,price_1U8VfLRyM6dRKLtZ5nEpH6ij,price_1U91tjRyM6dRKLtZNzkakzxS,14.90,15.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fenfKdEjRnr7,MH-CAT-CIAO-041,CIAO 炙烤盛宴｜銀魚扇貝味 (香烤風味)｜30g,price_1U8VfURyM6dRKLtZsfDqR6c3,price_1U91tiRyM6dRKLtZiC38AXim,14.90,15.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fe3PM27QjYNh,MH-CAT-CIAO-042,CIAO 炙烤盛宴｜正宗高湯味 (香烤風味)｜30g,price_1U8VfPRyM6dRKLtZSELHnoX6,price_1U91thRyM6dRKLtZc9Idl17C,14.90,15.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fe1kWPFBfcKh,MH-CAT-CIAO-043,CIAO Premium｜6種功能性成分 (鰹魚雞胸肉木魚花)｜30g,price_1U8VfIRyM6dRKLtZYp1aULxk,price_1U91tgRyM6dRKLtZc9UJIbeW,10.90,11.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feew2ryjD7ql,MH-CAT-CIAO-044,CIAO Premium｜6種功能性成分 (雞胸肉扇貝味)｜30g,price_1U8VfGRyM6dRKLtZqnZL6lHd,price_1U91tfRyM6dRKLtZYA3wvwn0,10.90,11.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feViin1yPowA,MH-CAT-CIAO-045,Vet's Labo｜MediMousse 腸胃呵護慕斯｜95g,price_1U8VgJRyM6dRKLtZ4V7rcIn2,price_1U91teRyM6dRKLtZMpuMEpiY,38.90,39.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8fexvyuSOogz8,MH-CAT-CIAO-046,Vet's Labo｜MediMousse 健康支持慕斯｜95g,price_1U8VgFRyM6dRKLtZy9DpjTcg,price_1U91tdRyM6dRKLtZrFeml44Q,38.90,39.90,implied_cost_cny_baseline,True,True,True,True,True
prod_V8feexDq7xAidn,MH-CAT-CIAO-047,Vet's Labo｜MediMousse 皮膚維護慕斯｜95g,price_1U8VgIRyM6dRKLtZ5N8bJkjF,price_1U91tcRyM6dRKLtZU2Jx8wfs,38.90,39.90,implied_cost_cny_baseline,True,True,True,True,True
