mofu_sku,product_name,product_id,mofu_import_key,mofu_import_source,supplier_sku,local_match_type,local_source_files,local_cost_fields_and_values,local_pricing_rules
MH-CAT-CIAO-029,CIAO 炙烤盛宴｜香烤鰹魚干瑤柱 (高齡貓用)｜50g,prod_V8fduDqyGKiazf,ciao-vetslabo-2026::ciaovl-01,products_20_list.csv,CIAOVL-01,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-030,CIAO 炙烤盛宴｜香烤扇貝柱 (高齡貓用)｜50g,prod_V8fd05UFEZNURC,ciao-vetslabo-2026::ciaovl-02,products_20_list.csv,CIAOVL-02,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-031,CIAO 炙烤盛宴｜扇貝柱正宗高湯｜50g,prod_V8fdpmkax4VOq1,ciao-vetslabo-2026::ciaovl-03,products_20_list.csv,CIAOVL-03,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-032,CIAO 炙烤盛宴｜烤鰹魚含小銀魚+扇貝柱｜50g,prod_V8fdnUyX0IymBN,ciao-vetslabo-2026::ciaovl-04,products_20_list.csv,CIAOVL-04,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-033,CIAO 炙烤盛宴｜炙烤雞胸肉含蟹肉棒+扇貝柱｜50g,prod_V8fep70tdjHDoG,ciao-vetslabo-2026::ciaovl-05,products_20_list.csv,CIAOVL-05,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-034,CIAO 超強乳酸菌｜金槍魚雞肉鰹魚｜40g,prod_V8feoZ4v72AX1T,ciao-vetslabo-2026::ciaovl-06,products_20_list.csv,CIAOVL-06,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-035,CIAO 炙烤盛宴｜化毛呵護鰹魚片扇貝柱｜50g,prod_V8fe010ZPXAJ1J,ciao-vetslabo-2026::ciaovl-07,products_20_list.csv,CIAOVL-07,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-036,CIAO 炙烤盛宴｜雞胸肉扇貝柱｜50g,prod_V8fe4RA15lCQZO,ciao-vetslabo-2026::ciaovl-08,products_20_list.csv,CIAOVL-08,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-037,CIAO 超強乳酸菌｜鮪魚雞肉柴魚片高湯｜40g,prod_V8feXQdvRNrV4B,ciao-vetslabo-2026::ciaovl-09,products_20_list.csv,CIAOVL-09,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-038,CIAO 超強乳酸菌｜雞肉鰹魚干高湯｜40g,prod_V8feeIGBK4DYB1,ciao-vetslabo-2026::ciaovl-10,products_20_list.csv,CIAOVL-10,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-039,CIAO 炙烤盛宴｜鰹魚干扇貝味 (香烤風味)｜30g,prod_V8fefdYTxUdNva,ciao-vetslabo-2026::ciaovl-11,products_20_list.csv,CIAOVL-11,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-040,CIAO 炙烤盛宴｜北海道風味扇貝 (香烤風味)｜30g,prod_V8feNaBEY6Pn28,ciao-vetslabo-2026::ciaovl-12,products_20_list.csv,CIAOVL-12,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-041,CIAO 炙烤盛宴｜銀魚扇貝味 (香烤風味)｜30g,prod_V8fenfKdEjRnr7,ciao-vetslabo-2026::ciaovl-13,products_20_list.csv,CIAOVL-13,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-042,CIAO 炙烤盛宴｜正宗高湯味 (香烤風味)｜30g,prod_V8fe3PM27QjYNh,ciao-vetslabo-2026::ciaovl-14,products_20_list.csv,CIAOVL-14,not_found_in_local_cny_cost_mappings,,[],[]
MH-CAT-CIAO-043,CIAO Premium｜6種功能性成分 (鰹魚雞胸肉木魚花)｜30g,prod_V8fe1kWPFBfcKh,ciao-vetslabo-2026::ciaovl-15,products_20_list.csv,CIAOVL-15,not_found_in_local_cny_cost_mappings,,[],[]
