mofu_sku,product_name,product_id,mofu_import_key,mofu_import_source,mofu_import_schema,supplier_sku,brand,category,active_hkd_price_count,inactive_hkd_price_count,product_metadata_key_count,active_hkd_price_metadata_key_counts,inactive_hkd_price_metadata_key_counts,exclusion_reasons,supported_cost_product_field,supported_cost_product_value,supported_cost_active_price_locations,supported_cost_inactive_price_locations,supported_margin_active_price_locations,supported_margin_inactive_price_locations,supported_fx_active_price_locations,supported_fx_inactive_price_locations,supported_rounding_active_price_locations,supported_rounding_inactive_price_locations,supported_margin_product_field,supported_margin_product_value,supported_fx_product_field,supported_fx_product_value,supported_rounding_product_field,supported_rounding_product_value,pricing_related_product_metadata,pricing_related_active_price_metadata,pricing_related_inactive_price_metadata
MH-CAT-CIAO-029,CIAO 炙烤盛宴｜香烤鰹魚干瑤柱 (高齡貓用)｜50g,prod_V8fduDqyGKiazf,ciao-vetslabo-2026::ciaovl-01,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-01,CIAO 炙烤盛宴,cats,1,1,30,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIeRyM6dRKLtZNHUpjECK""},""price_id"":""price_1U8VfZRyM6dRKLtZOVHdViM0""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIeRyM6dRKLtZNHUpjECK""}]"
MH-CAT-CIAO-030,CIAO 炙烤盛宴｜香烤扇貝柱 (高齡貓用)｜50g,prod_V8fd05UFEZNURC,ciao-vetslabo-2026::ciaovl-02,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-02,CIAO 炙烤盛宴,cats,1,1,30,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIfRyM6dRKLtZtgeVxS5h""},""price_id"":""price_1U8VfXRyM6dRKLtZFvN0Equa""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIfRyM6dRKLtZtgeVxS5h""}]"
MH-CAT-CIAO-031,CIAO 炙烤盛宴｜扇貝柱正宗高湯｜50g,prod_V8fdpmkax4VOq1,ciao-vetslabo-2026::ciaovl-03,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-03,CIAO 炙烤盛宴,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIgRyM6dRKLtZ71U8A42R""},""price_id"":""price_1U8VfNRyM6dRKLtZ71a6mIuN""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIgRyM6dRKLtZ71U8A42R""}]"
MH-CAT-CIAO-032,CIAO 炙烤盛宴｜烤鰹魚含小銀魚+扇貝柱｜50g,prod_V8fdnUyX0IymBN,ciao-vetslabo-2026::ciaovl-04,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-04,CIAO 炙烤盛宴,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIhRyM6dRKLtZCFhTVvpP""},""price_id"":""price_1U8VfSRyM6dRKLtZeHgrgP2N""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIhRyM6dRKLtZCFhTVvpP""}]"
MH-CAT-CIAO-033,CIAO 炙烤盛宴｜炙烤雞胸肉含蟹肉棒+扇貝柱｜50g,prod_V8fep70tdjHDoG,ciao-vetslabo-2026::ciaovl-05,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-05,CIAO 炙烤盛宴,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIjRyM6dRKLtZF9zEr29F""},""price_id"":""price_1U8VfQRyM6dRKLtZr1rEXVaM""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIjRyM6dRKLtZF9zEr29F""}]"
MH-CAT-CIAO-034,CIAO 超強乳酸菌｜金槍魚雞肉鰹魚｜40g,prod_V8feoZ4v72AX1T,ciao-vetslabo-2026::ciaovl-06,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-06,CIAO 超強乳酸菌,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""12.90"",""mofu_tail_rounding_old_hkd"":""12.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIkRyM6dRKLtZqtC12lss""},""price_id"":""price_1U8VfcRyM6dRKLtZmgPvy27P""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIkRyM6dRKLtZqtC12lss""}]"
MH-CAT-CIAO-035,CIAO 炙烤盛宴｜化毛呵護鰹魚片扇貝柱｜50g,prod_V8fe010ZPXAJ1J,ciao-vetslabo-2026::ciaovl-07,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-07,CIAO 炙烤盛宴,cats,1,1,28,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIlRyM6dRKLtZV4CPYsXS""},""price_id"":""price_1U8VfJRyM6dRKLtZYUNbtDOa""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIlRyM6dRKLtZV4CPYsXS""}]"
MH-CAT-CIAO-036,CIAO 炙烤盛宴｜雞胸肉扇貝柱｜50g,prod_V8fe4RA15lCQZO,ciao-vetslabo-2026::ciaovl-08,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-08,CIAO 炙烤盛宴,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""16.90"",""mofu_tail_rounding_old_hkd"":""16.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OImRyM6dRKLtZVZ7dbbQE""},""price_id"":""price_1U8VfVRyM6dRKLtZhrXqqdFe""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""18.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OImRyM6dRKLtZVZ7dbbQE""}]"
MH-CAT-CIAO-037,CIAO 超強乳酸菌｜鮪魚雞肉柴魚片高湯｜40g,prod_V8feXQdvRNrV4B,ciao-vetslabo-2026::ciaovl-09,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-09,CIAO 超強乳酸菌,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""12.90"",""mofu_tail_rounding_old_hkd"":""12.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OInRyM6dRKLtZDcTgB24x""},""price_id"":""price_1U8VffRyM6dRKLtZQ1rrh41H""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OInRyM6dRKLtZDcTgB24x""}]"
MH-CAT-CIAO-038,CIAO 超強乳酸菌｜雞肉鰹魚干高湯｜40g,prod_V8feeIGBK4DYB1,ciao-vetslabo-2026::ciaovl-10,products_20_list.csv,ciao-vetslabo-cats-v1,CIAOVL-10,CIAO 超強乳酸菌,cats,1,1,27,[13],[9],cost_cny_not_found_in_supported_product_or_active_price_fields;target_margin_not_found_or_invalid_in_supported_product_metadata;cny_to_hkd_not_found_or_invalid_in_supported_product_metadata;upward_90_rounding_not_found_or_unsupported_in_product_metadata,,,[],[],[],[],[],[],[],[],,,,,,,"{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1""}","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1"",""mofu_tail_rounding_new_hkd"":""12.90"",""mofu_tail_rounding_old_hkd"":""12.00"",""mofu_tail_rounding_rule"":""ceil_to_90_v1"",""mofu_tail_rounding_source_price_id"":""price_1U8OIoRyM6dRKLtZJY98Voqj""},""price_id"":""price_1U8VfdRyM6dRKLtZBZUCAmmJ""}]","[{""metadata"":{""compare_at_price_currency"":""hkd"",""compare_at_price_hkd"":""14.00"",""compare_at_price_schema"":""v1""},""price_id"":""price_1U8OIoRyM6dRKLtZJY98Voqj""}]"
