mofu_sku,brand,product_id,price_id,product_name,variant_label_zh,current_hkd,formula_fx_cny_to_hkd,formula_retail_multiplier,implied_cost_cny_baseline,forward_formula_hkd_at_same_fx,price_change_hkd_at_same_fx,data_classification,must_not_write_as,write_action
MH-CAT-CIAO-043,CIAO Premium,prod_V8fe1kWPFBfcKh,price_1U8VfIRyM6dRKLtZYp1aULxk,CIAO Premium｜6種功能性成分 (鰹魚雞胸肉木魚花)｜30g,30g,10.90,1.166,1.76,5.31147668,10.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-044,CIAO Premium,prod_V8feew2ryjD7ql,price_1U8VfGRyM6dRKLtZqnZL6lHd,CIAO Premium｜6種功能性成分 (雞胸肉扇貝味)｜30g,30g,10.90,1.166,1.76,5.31147668,10.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-029,CIAO 炙烤盛宴,prod_V8fduDqyGKiazf,price_1U8VfZRyM6dRKLtZOVHdViM0,CIAO 炙烤盛宴｜香烤鰹魚干瑤柱 (高齡貓用)｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-030,CIAO 炙烤盛宴,prod_V8fd05UFEZNURC,price_1U8VfXRyM6dRKLtZFvN0Equa,CIAO 炙烤盛宴｜香烤扇貝柱 (高齡貓用)｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-031,CIAO 炙烤盛宴,prod_V8fdpmkax4VOq1,price_1U8VfNRyM6dRKLtZ71a6mIuN,CIAO 炙烤盛宴｜扇貝柱正宗高湯｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-032,CIAO 炙烤盛宴,prod_V8fdnUyX0IymBN,price_1U8VfSRyM6dRKLtZeHgrgP2N,CIAO 炙烤盛宴｜烤鰹魚含小銀魚+扇貝柱｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-033,CIAO 炙烤盛宴,prod_V8fep70tdjHDoG,price_1U8VfQRyM6dRKLtZr1rEXVaM,CIAO 炙烤盛宴｜炙烤雞胸肉含蟹肉棒+扇貝柱｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-035,CIAO 炙烤盛宴,prod_V8fe010ZPXAJ1J,price_1U8VfJRyM6dRKLtZYUNbtDOa,CIAO 炙烤盛宴｜化毛呵護鰹魚片扇貝柱｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-036,CIAO 炙烤盛宴,prod_V8fe4RA15lCQZO,price_1U8VfVRyM6dRKLtZhrXqqdFe,CIAO 炙烤盛宴｜雞胸肉扇貝柱｜50g,50g,16.90,1.166,1.76,8.23522532,16.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CIAO-039,CIAO 炙烤盛宴,prod_V8fefdYTxUdNva,price_1U8VfaRyM6dRKLtZnd4iwlcL,CIAO 炙烤盛宴｜鰹魚干扇貝味 (香烤風味)｜30g,30g,14.90,1.166,1.76,7.26064244,14.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
