product_id,product_name,mofu_sku,price_id,is_default,variant_label_zh,retail_hkd,cost_cny,cost_source,cost_hkd_at_rate,gross_profit_hkd,gross_margin_pct
prod_V8fe6YUsIrEf8Q,Vet's Labo｜MediMousse 減肥減脂慕斯｜95g,MH-CAT-CIAO-048,price_1U91tbRyM6dRKLtZlmosP2L1,True,95g,39.9,,,,,
prod_V8feexDq7xAidn,Vet's Labo｜MediMousse 皮膚維護慕斯｜95g,MH-CAT-CIAO-047,price_1U91tcRyM6dRKLtZU2Jx8wfs,True,95g,39.9,,,,,
prod_V8fexvyuSOogz8,Vet's Labo｜MediMousse 健康支持慕斯｜95g,MH-CAT-CIAO-046,price_1U91tdRyM6dRKLtZrFeml44Q,True,95g,39.9,,,,,
prod_V8feViin1yPowA,Vet's Labo｜MediMousse 腸胃呵護慕斯｜95g,MH-CAT-CIAO-045,price_1U91teRyM6dRKLtZMpuMEpiY,True,95g,39.9,,,,,
prod_V8feew2ryjD7ql,CIAO Premium｜6種功能性成分 (雞胸肉扇貝味)｜30g,MH-CAT-CIAO-044,price_1U91tfRyM6dRKLtZYA3wvwn0,True,30g,11.9,,,,,
prod_V8fe1kWPFBfcKh,CIAO Premium｜6種功能性成分 (鰹魚雞胸肉木魚花)｜30g,MH-CAT-CIAO-043,price_1U91tgRyM6dRKLtZc9UJIbeW,True,30g,11.9,,,,,
prod_V8fe3PM27QjYNh,CIAO 炙烤盛宴｜正宗高湯味 (香烤風味)｜30g,MH-CAT-CIAO-042,price_1U91thRyM6dRKLtZc9Idl17C,True,30g,15.9,,,,,
prod_V8fenfKdEjRnr7,CIAO 炙烤盛宴｜銀魚扇貝味 (香烤風味)｜30g,MH-CAT-CIAO-041,price_1U91tiRyM6dRKLtZiC38AXim,True,30g,15.9,,,,,
prod_V8feNaBEY6Pn28,CIAO 炙烤盛宴｜北海道風味扇貝 (香烤風味)｜30g,MH-CAT-CIAO-040,price_1U91tjRyM6dRKLtZNzkakzxS,True,30g,15.9,,,,,
prod_V8fefdYTxUdNva,CIAO 炙烤盛宴｜鰹魚干扇貝味 (香烤風味)｜30g,MH-CAT-CIAO-039,price_1U91tkRyM6dRKLtZLB4KN51f,True,30g,15.9,,,,,
