csv_row,product_id,mofu_sku,product_name,source_csv_price_id,result_price_id,csv_cost_cny,stripe_cost_cny,csv_proposed_hkd,stripe_hkd,write_action,source_inactive_when_replaced,default_price_correct,implied_baseline_removed,verified
2,prod_V90yLm2ySqOvLR,MH-CAT-CIAO-001,CIAO とろみ｜鮪魚魷魚濃湯貓罐頭｜單罐,price_1U8iwURyM6dRKLtZvEEuMvIT,price_1U92avRyM6dRKLtZbdU3CdbW,11.8,11.8,25.9,25.90,replacement_price_created,True,True,True,True
3,prod_V90yHw6lb8trQi,MH-CAT-CIAO-002,CIAO とろみ｜鰹魚高湯雞肉鮪魚蟹柳濃湯貓罐頭｜單罐,price_1U8iwVRyM6dRKLtZBxhHTGze,price_1U92axRyM6dRKLtZp83aoECz,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
4,prod_V90yamZYZI7jNF,MH-CAT-CIAO-003,CIAO とろみ｜鰹魚高湯雞肉鰹魚扇貝濃湯貓罐頭｜單罐,price_1U8iwXRyM6dRKLtZywWN34fZ,price_1U92azRyM6dRKLtZJlcaweNT,10.8,10.8,23.9,23.90,replacement_price_created,True,True,True,True
5,prod_V90ygMTkWiOVNg,MH-CAT-CIAO-004,CIAO とろみ｜烤鰹魚雞肉柴魚片濃湯貓罐頭｜單罐,price_1U8iwYRyM6dRKLtZYbdZDFYL,price_1U92b0RyM6dRKLtZv6bGM6Qt,11.8,11.8,25.9,25.90,replacement_price_created,True,True,True,True
6,prod_V90yLEVAaxxHJj,MH-CAT-CIAO-005,CIAO とろみ｜鰹魚高湯雞肉鮪魚魷魚濃湯貓罐頭｜單罐,price_1U8iwZRyM6dRKLtZc4a9huRq,price_1U92b2RyM6dRKLtZNmxWsbSd,10.8,10.8,23.9,23.90,replacement_price_created,True,True,True,True
7,prod_V90yH5bCkLyGYU,MH-CAT-CIAO-006,CIAO とろみ｜下泌尿道配慮雞肉鮪魚扇貝濃湯貓罐頭｜單罐,price_1U8iwaRyM6dRKLtZbm2N3cUU,price_1U92b3RyM6dRKLtZf6MBpy5H,11.8,11.8,25.9,25.90,replacement_price_created,True,True,True,True
8,prod_V90yJbWqkU76Xa,MH-CAT-CIAO-007,CIAO とろみ｜奶油濃湯雞肉鮪魚蟹柳貓罐頭｜單罐,price_1U8iwbRyM6dRKLtZl7K9ejmQ,price_1U92b5RyM6dRKLtZUCALgTdq,11.8,11.8,25.9,25.90,replacement_price_created,True,True,True,True
9,prod_V90yGkxpp9OU57,MH-CAT-CIAO-008,CIAO とろみ｜奶油濃湯雞肉鰹魚柴魚片貓罐頭｜單罐,price_1U8iwdRyM6dRKLtZ7nW4lVOy,price_1U92b6RyM6dRKLtZukI6DrYY,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
10,prod_V90yhouIdri4Ou,MH-CAT-CIAO-009,CIAO とろみ｜11歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,price_1U8iweRyM6dRKLtZOPT6WHop,price_1U92b7RyM6dRKLtZfE9XBBN4,11.8,11.8,25.9,25.90,replacement_price_created,True,True,True,True
11,prod_V90yHSNJqbGEZF,MH-CAT-CIAO-010,CIAO とろみ｜14歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,price_1U8iwfRyM6dRKLtZujEk5TUK,price_1U92b9RyM6dRKLtZMel2eEmB,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
12,prod_V90yxohDmOksl3,MH-CAT-CIAO-011,CIAO｜雞肉烤鰹魚柴魚片貓罐頭｜單罐,price_1U8iwgRyM6dRKLtZWmshq8Qw,price_1U92bARyM6dRKLtZPaKgjkPD,12.8,12.8,27.9,27.90,replacement_price_created,True,True,True,True
13,prod_V90yrU6QwJj9H4,MH-CAT-CIAO-012,CIAO｜雞肉甜蝦小銀魚貓罐頭｜單罐,price_1U8iwhRyM6dRKLtZedeY1D6y,price_1U92bCRyM6dRKLtZ1v4Tu7G9,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
14,prod_V90ynw7GK161mE,MH-CAT-CIAO-013,CIAO｜鰹魚柴魚片貓罐頭｜單罐,price_1U8iwiRyM6dRKLtZDni4Rrvo,price_1U92bDRyM6dRKLtZKMcJKopZ,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
15,prod_V90yisznvIVXlp,MH-CAT-CIAO-014,CIAO｜烤鰹魚鮪魚雞肉貓罐頭｜單罐,price_1U8iwjRyM6dRKLtZL7hePLZM,price_1U92bFRyM6dRKLtZlYrWAkIn,15.8,15.8,33.9,33.90,replacement_price_created,True,True,True,True
16,prod_V90ynvqu5ntnjO,MH-CAT-CIAO-015,CIAO｜雞肉扇貝柱貓罐頭｜單罐,price_1U8iwkRyM6dRKLtZLKkQOBAC,price_1U92bGRyM6dRKLtZRYHxi2K6,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
17,prod_V90ytLadcfCm8a,MH-CAT-CIAO-016,CIAO｜雞肉蟹柳柴魚片貓罐頭｜單罐,price_1U8iwlRyM6dRKLtZUPCtyfo0,price_1U92bIRyM6dRKLtZDdgtlcrJ,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
18,prod_V90yqFB6WTazQ9,MH-CAT-CIAO-017,CIAO｜雞肉蟹柳貓罐頭｜單罐,price_1U8iwmRyM6dRKLtZY9nLDMUK,price_1U92bJRyM6dRKLtZNBfa7zZ2,13.8,13.8,29.9,29.90,replacement_price_created,True,True,True,True
19,prod_V90yyLLKXQRQey,MH-CAT-CIAO-018,CIAO｜鮪魚白肉扇貝柱貓罐頭｜單罐,price_1U8iwoRyM6dRKLtZP8VcS1tu,price_1U92bLRyM6dRKLtZXjNYMz6i,12.8,12.8,27.9,27.90,replacement_price_created,True,True,True,True
20,prod_V90y14gfPJNkP3,MH-CAT-CIAO-019,CIAO｜11歲以上鰹魚白肉貓罐頭｜單罐,price_1U8iwpRyM6dRKLtZc7uPsPIp,price_1U92bMRyM6dRKLtZbxi0CtBd,15.8,15.8,33.9,33.90,replacement_price_created,True,True,True,True
