csv_row,product_id,price_id,mofu_sku,product_name,csv_cost_cny,csv_proposed_hkd,status,current_live_hkd,issue,csv_target_cents
2,prod_V90yLm2ySqOvLR,price_1U8iwURyM6dRKLtZvEEuMvIT,MH-CAT-CIAO-001,CIAO とろみ｜鮪魚魷魚濃湯貓罐頭｜單罐,11.8,25.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
3,prod_V90yHw6lb8trQi,price_1U8iwVRyM6dRKLtZBxhHTGze,MH-CAT-CIAO-002,CIAO とろみ｜鰹魚高湯雞肉鮪魚蟹柳濃湯貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
4,prod_V90yamZYZI7jNF,price_1U8iwXRyM6dRKLtZywWN34fZ,MH-CAT-CIAO-003,CIAO とろみ｜鰹魚高湯雞肉鰹魚扇貝濃湯貓罐頭｜單罐,10.8,23.9,eligible_exact_active_match,22.90,,2390
5,prod_V90ygMTkWiOVNg,price_1U8iwYRyM6dRKLtZYbdZDFYL,MH-CAT-CIAO-004,CIAO とろみ｜烤鰹魚雞肉柴魚片濃湯貓罐頭｜單罐,11.8,25.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
6,prod_V90yLEVAaxxHJj,price_1U8iwZRyM6dRKLtZc4a9huRq,MH-CAT-CIAO-005,CIAO とろみ｜鰹魚高湯雞肉鮪魚魷魚濃湯貓罐頭｜單罐,10.8,23.9,eligible_exact_active_match,22.90,,2390
7,prod_V90yH5bCkLyGYU,price_1U8iwaRyM6dRKLtZbm2N3cUU,MH-CAT-CIAO-006,CIAO とろみ｜下泌尿道配慮雞肉鮪魚扇貝濃湯貓罐頭｜單罐,11.8,25.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
8,prod_V90yJbWqkU76Xa,price_1U8iwbRyM6dRKLtZl7K9ejmQ,MH-CAT-CIAO-007,CIAO とろみ｜奶油濃湯雞肉鮪魚蟹柳貓罐頭｜單罐,11.8,25.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
9,prod_V90yGkxpp9OU57,price_1U8iwdRyM6dRKLtZ7nW4lVOy,MH-CAT-CIAO-008,CIAO とろみ｜奶油濃湯雞肉鰹魚柴魚片貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
10,prod_V90yhouIdri4Ou,price_1U8iweRyM6dRKLtZOPT6WHop,MH-CAT-CIAO-009,CIAO とろみ｜11歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,11.8,25.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
11,prod_V90yHSNJqbGEZF,price_1U8iwfRyM6dRKLtZujEk5TUK,MH-CAT-CIAO-010,CIAO とろみ｜14歲以上鮪魚扇貝奶油濃湯貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
12,prod_V90yxohDmOksl3,price_1U8iwgRyM6dRKLtZWmshq8Qw,MH-CAT-CIAO-011,CIAO｜雞肉烤鰹魚柴魚片貓罐頭｜單罐,12.8,27.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
13,prod_V90yrU6QwJj9H4,price_1U8iwhRyM6dRKLtZedeY1D6y,MH-CAT-CIAO-012,CIAO｜雞肉甜蝦小銀魚貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
14,prod_V90ynw7GK161mE,price_1U8iwiRyM6dRKLtZDni4Rrvo,MH-CAT-CIAO-013,CIAO｜鰹魚柴魚片貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
15,prod_V90yisznvIVXlp,price_1U8iwjRyM6dRKLtZL7hePLZM,MH-CAT-CIAO-014,CIAO｜烤鰹魚鮪魚雞肉貓罐頭｜單罐,15.8,33.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
16,prod_V90ynvqu5ntnjO,price_1U8iwkRyM6dRKLtZLKkQOBAC,MH-CAT-CIAO-015,CIAO｜雞肉扇貝柱貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
17,prod_V90ytLadcfCm8a,price_1U8iwlRyM6dRKLtZUPCtyfo0,MH-CAT-CIAO-016,CIAO｜雞肉蟹柳柴魚片貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
18,prod_V90yqFB6WTazQ9,price_1U8iwmRyM6dRKLtZY9nLDMUK,MH-CAT-CIAO-017,CIAO｜雞肉蟹柳貓罐頭｜單罐,13.8,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
19,prod_V90yyLLKXQRQey,price_1U8iwoRyM6dRKLtZP8VcS1tu,MH-CAT-CIAO-018,CIAO｜鮪魚白肉扇貝柱貓罐頭｜單罐,12.8,27.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
20,prod_V90y14gfPJNkP3,price_1U8iwpRyM6dRKLtZc7uPsPIp,MH-CAT-CIAO-019,CIAO｜11歲以上鰹魚白肉貓罐頭｜單罐,15.8,33.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
