product_id,price_id,is_default_price,variant_mode,variant_label_zh,mofu_sku,product_name,brand,category,current_hkd,cost_cny,target_product_margin,stored_cny_to_hkd,latest_cny_to_hkd,fx_change_percent,rounding_rule,pricing_ship_to_hk_hkd,retail_pricing_rule,unrounded_proposed_hkd,proposed_hkd,price_change_hkd,price_change_percent,current_margin_at_latest_fx,proposed_margin_at_latest_fx,would_change_without_guard,passes_potential_fx_trigger_0_5_percent,within_potential_price_change_cap_5_percent,potential_review_guard_status,cost_hkd_at_latest_fx,gross_profit_hkd,gross_margin_pct
prod_V8uIOVwsFqgPTV,price_1U8cU3RyM6dRKLtZBkHsqyun,False,choice,4.4L｜大顆粒,MH-LIF-ST-001,Nyantomo 清潔貓廁所 脫臭抗菌木質貓砂 4.4L｜Nyantomo Deodorising Antibacterial Wood Cat Litter 4.4L,S.T. ニャンとも清潔トイレ,cats,203.9,96.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",203.8342,203.9,0.0,0.0,0.4502,0.4502,False,False,True,no_price_change,112.11,91.79,45.02
prod_V8uIOVwsFqgPTV,price_1U8cU3RyM6dRKLtZTKnfNwxt,False,choice,4.4L｜小顆粒,MH-LIF-ST-001,Nyantomo 清潔貓廁所 脫臭抗菌木質貓砂 4.4L｜Nyantomo Deodorising Antibacterial Wood Cat Litter 4.4L,S.T. ニャンとも清潔トイレ,cats,203.9,96.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",203.8342,203.9,0.0,0.0,0.4502,0.4502,False,False,True,no_price_change,112.11,91.79,45.02
prod_V8uIOVwsFqgPTV,price_1U8cU3RyM6dRKLtZYlkAeABl,True,choice,4.4L｜極小顆粒,MH-LIF-ST-001,Nyantomo 清潔貓廁所 脫臭抗菌木質貓砂 4.4L｜Nyantomo Deodorising Antibacterial Wood Cat Litter 4.4L,S.T. ニャンとも清潔トイレ,cats,203.9,96.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",203.8342,203.9,0.0,0.0,0.4502,0.4502,False,False,True,no_price_change,112.11,91.79,45.02
prod_V8xXuAW047ti4v,price_1U8fc3RyM6dRKLtZ8kbEZQmk,True,single,雞肉味｜600g,MH-CAT-SNR-025,AIM30 室內成貓 雞肉味乾糧 600g｜AIM30 Indoor Adult Cat Food Chicken Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8xXIokF7G9Er0,price_1U8fc4RyM6dRKLtZnmbBZ59U,True,single,鮮魚味｜600g,MH-CAT-SNR-026,AIM30 室內成貓 鮮魚味乾糧 600g｜AIM30 Indoor Adult Cat Food Fish Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8xXaZ0jwFhqkT,price_1U8fc2RyM6dRKLtZ3lk0Ei43,True,single,11 歲以上｜雞肉味｜600g,MH-CAT-SNR-029,AIM30 室內高齡貓 11 歲以上 雞肉味乾糧 600g｜AIM30 Indoor Senior Cat Food 11+ Chicken Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8xXMTWORpMyun,price_1U8fcBRyM6dRKLtZpuYulJ4J,True,single,11 歲以上｜鮮魚味｜600g,MH-CAT-SNR-030,AIM30 室內高齡貓 11 歲以上 鮮魚味乾糧 600g｜AIM30 Indoor Senior Cat Food 11+ Fish Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8xXwQzwhjo93R,price_1U8fc9RyM6dRKLtZcSJjz0IP,True,single,15 歲以上｜雞肉味｜600g,MH-CAT-SNR-031,AIM30 室內高齡貓 15 歲以上 雞肉味乾糧 600g｜AIM30 Indoor Senior Cat Food 15+ Chicken Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8xXT4XG39RY4o,price_1U8fc8RyM6dRKLtZkNh900Ke,True,single,15 歲以上｜腎臟健康照護｜鮮魚味｜600g,MH-CAT-SNR-032,AIM30 室內高齡貓 15 歲以上 腎臟健康照護 鮮魚味乾糧 600g｜AIM30 Indoor Senior Cat Food 15+ Kidney Health Care Fish Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8xXTyAkIg3YGz,price_1U8fc6RyM6dRKLtZ8UU70tzG,True,single,15 歲以上｜腎臟健康照護｜雞肉味｜600g,MH-CAT-SNR-033,AIM30 室內高齡貓 15 歲以上 腎臟健康照護 雞肉味乾糧 600g｜AIM30 Indoor Senior Cat Food 15+ Kidney Health Care Chicken Flavour 600g,Sunrise AIM30,cats,356.9,168.0,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",356.7098,356.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,196.19,160.71,45.03
prod_V8sFjjO8IgpPvO,price_1U8aVORyM6dRKLtZ8BiiBL40,False,pack_size,混合口味 8 包／可自選（共 64 根）,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,Complete ytt,dogs,69.9,32.9,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",69.8557,69.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,38.42,31.48,45.03
prod_V8sFjjO8IgpPvO,price_1U8aVORyM6dRKLtZyvltXD1x,False,pack_size,4 口味各 2 包（共 64 根）,MH-DOG-GEN-001,Complete ytt 日本犬用雞肉條小食 20g｜Complete ytt Chicken Tender Dog Treats 20g,Complete ytt,dogs,69.9,32.9,0.45,1.1654,1.1678,0.2059,upward .90,0.0,"CNY×1.1654/(1-45%), upward .90",69.8557,69.9,0.0,0.0,0.4503,0.4503,False,False,True,no_price_change,38.42,31.48,45.03
